employee_id,department,department_position,employment_type,job_type,job_location,years_at_company,yearly_salary,termination_status
E02541,Sales,Analyst,Full Time,Hybrid,Chicago,9,89263,Active
E03248,Sales,Analyst,Part Time,Hybrid,Chicago,8,85946,Active
E02941,Sales,Analyst,Part Time,Hybrid,Chicago,20,86771,Active
E03771,Sales,Analyst,Part Time,Remote,Chicago,18,89670,Active
E02280,Sales,Analyst,Part Time,In Person,Chicago,2,85263,Active
E02466,Engineering,Analyst,Full Time,Hybrid,Chicago,11,93380,Active
E01011,Marketing,Analyst,Full Time,In Person,Chicago,19,88827,Active
E02409,Hr,Analyst,Part Time,Remote,Chicago,18,98589,Active
E02166,Marketing,Analyst,Part Time,Remote,Chicago,9,96609,Active
E01194,It,Analyst,Part Time,In Person,Chicago,2,95594,Inactive
E02416,Marketing,Analyst,Part Time,In Person,Chicago,11,97194,Active
E00025,Finance,Analyst,Full Time,Hybrid,Chicago,4,99426,Active
E01223,It,Analyst,Full Time,Hybrid,Chicago,15,90916,Active
E00975,Marketing,Analyst,Full Time,Hybrid,Chicago,10,99023,Active
E02445,Hr,Analyst,Full Time,Remote,Chicago,15,91589,Active
E02666,Sales,Analyst,Part Time,In Person,Chicago,9,85131,Active
E02429,Marketing,Analyst,Part Time,In Person,Chicago,13,97513,Inactive
E02956,Finance,Analyst,Part Time,In Person,Chicago,11,95756,Inactive
E02957,Marketing,Analyst,Part Time,In Person,Chicago,5,95622,Inactive
E00986,It,Analyst,Full Time,Hybrid,Chicago,11,89919,Active
E01960,Sales,Analyst,Full Time,Hybrid,Chicago,6,98620,Active
E02234,Marketing,Analyst,Part Time,Hybrid,Chicago,1,93878,Active
E01230,Sales,Analyst,Full Time,Hybrid,Chicago,1,89014,Active
E00782,Finance,Analyst,Full Time,Hybrid,Chicago,8,95250,Active
E01614,Finance,Analyst,Full Time,In Person,Chicago,20,98215,Inactive
E02653,Hr,Analyst,Full Time,Hybrid,Chicago,9,87921,Inactive
E00791,It,Analyst,Part Time,Remote,Chicago,12,85284,Active
E02154,Marketing,Analyst,Part Time,In Person,Chicago,11,98045,Active
E03526,Sales,Analyst,Part Time,Hybrid,Chicago,1,98771,Active
E02753,It,Analyst,Part Time,In Person,Chicago,11,85820,Inactive
E01515,Hr,Analyst,Part Time,Remote,Chicago,6,90577,Active
E03951,It,Analyst,Full Time,Hybrid,Chicago,10,89435,Inactive
E00016,It,Analyst,Part Time,Remote,Chicago,5,85877,Active
E03949,Finance,Analyst,Part Time,In Person,Chicago,5,97965,Active
E00807,Engineering,Analyst,Part Time,In Person,Chicago,8,95780,Active
E00624,It,Analyst,Part Time,Hybrid,Chicago,16,86244,Active
E01459,Hr,Analyst,Full Time,Hybrid,Chicago,15,93175,Active
E03342,Finance,Analyst,Part Time,In Person,Chicago,16,98005,Active
E01626,Hr,Analyst,Part Time,Remote,Chicago,16,90014,Active
E00815,It,Analyst,Full Time,Remote,Chicago,7,90824,Active
E00079,Marketing,Analyst,Part Time,Remote,Chicago,9,93070,Active
E00816,It,Analyst,Full Time,In Person,Chicago,14,94611,Active
E02851,Finance,Analyst,Part Time,In Person,Chicago,4,93261,Active
E01722,Finance,Analyst,Part Time,In Person,Chicago,20,90853,Active
E03483,Marketing,Analyst,Full Time,Hybrid,Chicago,17,88855,Active
E03182,Hr,Analyst,Full Time,Hybrid,Chicago,6,91708,Active
E00497,It,Analyst,Full Time,Remote,Chicago,2,92808,Active
E01244,Sales,Analyst,Full Time,Hybrid,Chicago,5,91026,Active
E03034,Sales,Analyst,Part Time,In Person,Chicago,2,85237,Active
E02862,Marketing,Analyst,Part Time,Remote,Chicago,5,87507,Active
E00096,Engineering,Analyst,Full Time,Remote,Chicago,17,92535,Inactive
E02589,Finance,Analyst,Full Time,Hybrid,Chicago,18,92987,Inactive
